WORD                 PARA CONTEXT
====                 ==== =======
A                       1 A
A                       2 Ita
A                       3 Chargea
and                     2 Itand
best                    1 Abest
Brigade                 3 ChargeBrigade
Charge                  3 Charge
Cities                  1 ACities
half                    3 rigadehalf
half                    3 gehalf
It                      2 It
league                  3 alfleague
league                  3 eleague
night                   2 Itnight
of                      1 Aof
once                    4 once
slept                   4 Theslept
Tale                    4 TheTale
the                     3 Chargethe
the                     4 'sthe
the                     4 The
times                   1 thetimes
times                   1 Taletimes
was                     1 Twowas
was                     1 Awas
what                    4 Thewhat
worst                   1 sworst
